Producción;Código departamento;Código municipio;Departamento;Municipio
24757.97;47;47318;Magdalena;Guamal
12653.76;50;50330;Meta;Mesetas
25106.33;41;41530;Huila;Palestina
1451.65;15;15403;Boyacá;La Uvita
12029.29;25;25288;Cundinamarca;Fúquene
13411.27;52;52520;Nariño;Francisco Pizarro (Salahonda)
1255.07;25;25001;Cundinamarca;Agua de Dios
61910.7;19;19418;Cauca;López
7140.93;15;15238;Boyacá;Duitama
1621.61;25;25645;Cundinamarca;San Antonio de  Tequendama
51611.95;41;41020;Huila;Algeciras
1848.11;15;15317;Boyacá;Guacamayas
529237.03;19;19300;Cauca;Guachene
16093.23;68;68190;Santander;Cimitarra
1543.87;97;97161;Vaupés;Carurú
31144.38;20;20175;Cesar;Chimichagua
17556.93;23;23672;Córdoba;San Antero
1127.3;5;5321;Antioquia;Guatapé
17816.4;70;70717;Sucre;San Pedro
27740.96;70;70215;Sucre;Corozal
33656.43;5;5368;Antioquia;Jericó
5810.8;70;70820;Sucre;Tolú
27704.12;25;25269;Cundinamarca;Facatativá
10220.45;25;25594;Cundinamarca;Quetame
2229.9;25;25324;Cundinamarca;Guataquí
102165.95;23;23189;Córdoba;Ciénaga de Oro
6214.48;27;27006;Chocó;Acandí
229623.67;76;76400;Valle del Cauca;La Unión
1821.88;17;17495;Caldas;Norcasia
28208.6;23;23555;Córdoba;Planeta Rica
88654.28;25;25899;Cundinamarca;Zipaquirá
101203.17;20;20238;Cesar;El Copey
18773;47;47675;Magdalena;Salamina
35587.17;5;5361;Antioquia;Ituango
6526.56;13;13667;Bolívar;San Martin de Loba
20783.06;73;73483;Tolima;Natagaima
179364.07;76;76403;Valle del Cauca;La Victoria
12684.07;41;41483;Huila;Nátaga
6770.7;13;13683;Bolívar;Santa Rosa
1768.32;52;52699;Nariño;Santa Cruz (Guachavés)
51655.91;68;68077;Santander;Barbosa
3741.74;5;5030;Antioquia;Amagá
55527.77;63;63548;Quindío;Pijao
6721.11;25;25758;Cundinamarca;Sopó
19972.17;25;25878;Cundinamarca;Viotá
1622.94;17;17380;Caldas;La Dorada
59903.43;63;63001;Quindío;Armenia
59954.6;25;25535;Cundinamarca;Pasca
1506.72;50;50223;Meta;Cubarral
19871.4;25;25662;Cundinamarca;San Juan de Rioseco
6844.43;15;15491;Boyacá;Nobsa
41614.31;68;68547;Santander;Piedecuesta
54739.25;19;19824;Cauca;Totoró
174419.29;50;50590;Meta;Puerto Rico
624.5;68;68867;Santander;Vetas
40660.8;17;17665;Caldas;San José
18049.05;63;63690;Quindío;Salento
3356.1;13;13620;Bolívar;San Cristobal
30504.34;68;68235;Santander;El Carmen
12487.86;68;68245;Santander;El Guacamayo
123361.55;70;70429;Sucre;Majagual
211212.37;41;41668;Huila;San Agustín
24438.41;52;52381;Nariño;La Florida
20047.12;68;68468;Santander;Molagavita
11736.13;54;54250;Norte de Santander;El Tarra
5073.16;15;15180;Boyacá;Chiscas
10827.92;5;5250;Antioquia;El Bagre
18825.68;27;27430;Chocó;Medio Baudó(Boca de Pepé)
46884;73;73030;Tolima;Ambalema
7667.1;68;68895;Santander;Zapatoca
15139.98;5;5887;Antioquia;Yarumal
6613.48;15;15774;Boyacá;Susacón
11093.27;91;91001;Amazonas;Leticia
2448.83;5;5353;Antioquia;Hispania
3306.24;68;68773;Santander;Sucre
7295.62;8;8078;Atlántico;Baranoa
314474.43;25;25873;Cundinamarca;Villapinzón
12945.17;25;25402;Cundinamarca;La Vega
9579.95;25;25328;Cundinamarca;Guayabal de Síquima
34216.12;15;15204;Boyacá;Cómbita
27576.01;15;15839;Boyacá;Tutazá
86920.82;85;85440;Casanare;Villanueva
117789.16;68;68615;Santander;Rionegro
193945.42;50;50313;Meta;Granada
29242.47;54;54223;Norte de Santander;Cucutilla
14611.97;41;41518;Huila;Paicol
325350.7;17;17877;Caldas;Viterbo
12739.2;18;18785;Caquetá;Solita
30033.42;73;73275;Tolima;Flandes
78503.26;52;52585;Nariño;Pupiales
15486.94;5;5790;Antioquia;Tarazá
32029.67;25;25281;Cundinamarca;Fosca
17530.96;5;5154;Antioquia;Caucasia
56196.7;23;23855;Córdoba;Valencia
37580.45;15;15455;Boyacá;Miraflores
13730.87;5;5101;Antioquia;Ciudad Bolívar
4537.11;5;5467;Antioquia;Montebello
34930.05;13;13580;Bolívar;Regidor
176681.82;15;15740;Boyacá;Siachoque
80427.6;52;52260;Nariño;El Tambo
20621.13;52;52788;Nariño;Tangua
13283.42;23;23580;Córdoba;Puerto Libertador
49141.53;25;25035;Cundinamarca;Anapoima
9963.9;63;63190;Quindío;Circasia
17940.34;5;5313;Antioquia;Granada
135292.13;85;85225;Casanare;Nunchía
1157.78;68;68705;Santander;Santa Bárbara
1713.4;5;5819;Antioquia;Toledo
53119.91;13;13433;Bolívar;Mahates
21332.05;25;25245;Cundinamarca;El Colegio
10186.81;54;54673;Norte de Santander;San Cayetano
182703.96;15;15469;Boyacá;Moniquirá
154838.95;85;85325;Casanare;San Luis de Palenque
35077.63;41;41306;Huila;Gigante
3729.19;25;25019;Cundinamarca;Albán
69239.62;73;73152;Tolima;Casabianca
31014.24;76;76243;Valle del Cauca;El Águila
60816.59;20;20770;Cesar;San Martín
3478.01;15;15810;Boyacá;Tipacoque
552131.52;50;50568;Meta;Puerto Gaitán
14638;50;50350;Meta;La Macarena
7675.73;54;54109;Norte de Santander;Bucarasica
6166;68;68324;Santander;Guavatá
19286.04;25;25426;Cundinamarca;Machetá
7057.84;25;25436;Cundinamarca;Manta
362684.55;68;68406;Santander;Lebrija
88000.86;41;41551;Huila;Pitalito
5042.3;15;15187;Boyacá;Chivatá
2747.31;25;25658;Cundinamarca;San Francisco
40987.53;52;52323;Nariño;Gualmatán
375480.18;76;76890;Valle del Cauca;Yotoco
1858.6;44;44378;La Guajira;Hato Nuevo
36093.7;17;17616;Caldas;Risaralda
6027.64;13;13836;Bolívar;Turbaco
203098;15;15816;Boyacá;Togüí
24540.77;15;15367;Boyacá;Jenesano
63630.71;52;52019;Nariño;Albán (San José)
5153.58;5;5543;Antioquia;Peque
1850.51;73;73349;Tolima;Honda
3994.91;15;15518;Boyacá;Pajarito
7334.68;5;5036;Antioquia;Angelópolis
7906.67;86;86865;Putumayo;Valle del Guamuez (La Hormiga)
6348.63;54;54660;Norte de Santander;Salazar
6851;47;47541;Magdalena;Pedraza
17037.8;47;47692;Magdalena;San Sebastián de Buenavista
12408.73;54;54518;Norte de Santander;Pamplona
9879.64;27;27077;Chocó;Bajo Baudó (Pizarro)
76732.31;47;47745;Magdalena;Sitionuevo
4657.76;5;5125;Antioquia;Caicedo
12736.66;41;41503;Huila;Oporapa
6292.62;47;47605;Magdalena;Remolino
6659.15;68;68079;Santander;Barichara
10446.91;86;86568;Putumayo;Puerto Asís
35038.5;73;73563;Tolima;Prado
181625.78;5;5890;Antioquia;Yolombó
7776.68;13;13838;Bolívar;Turbana
20343.4;13;13222;Bolívar;Clemencia
133812.32;85;85230;Casanare;Orocué
63698.56;76;76606;Valle del Cauca;Restrepo
13583.79;91;91540;Amazonas;Puerto Nariño
7818.34;54;54874;Norte de Santander;Villa del Rosario
2159.21;5;5501;Antioquia;Olaya
5585.84;25;25335;Cundinamarca;Guayabetal
34501;47;47460;Magdalena;Nueva Granada
17343.68;25;25317;Cundinamarca;Guachetá
1508.97;15;15720;Boyacá;Sativanorte
6826.14;13;13468;Bolívar;Mompós
57420.73;41;41298;Huila;Garzón
8710.78;13;13074;Bolívar;Barranco de Loba
199960.58;52;52683;Nariño;Sandoná
21022.49;68;68217;Santander;Coromoro
14774.85;68;68385;Santander;Landázuri
1434.95;52;52083;Nariño;Belén
19815.21;15;15806;Boyacá;Tibasosa
2469.25;5;5142;Antioquia;Caracolí
24478.82;23;23675;Córdoba;San Bernardo del Viento
121949.55;5;5038;Antioquia;Angostura
213858.88;52;52835;Nariño;Tumaco
21154.36;52;52354;Nariño;Imués
106245.64;15;15814;Boyacá;Toca
129618.55;52;52207;Nariño;Consacá
85966.28;5;5284;Antioquia;Frontino
77947.33;68;68298;Santander;Gámbita
1724.58;68;68121;Santander;Cabrera
3276.62;54;54405;Norte de Santander;Los Patios
55679.93;68;68679;Santander;San Gil
6518.09;15;15572;Boyacá;Puerto Boyacá
92152.66;68;68464;Santander;Mogotes
54457.54;52;52435;Nariño;Mallama (Piedrancha)
20405.12;19;19075;Cauca;Balboa
19932.28;15;15696;Boyacá;Santa Sofía
76111.6;85;85430;Casanare;Trinidad
2085.1;8;8549;Atlántico;Piojó
30857.55;50;50325;Meta;Mapiripán
49597.76;54;54261;Norte de Santander;El Zulia
1158695.82;76;76563;Valle del Cauca;Pradera
63898.48;17;17653;Caldas;Salamina
49118.82;20;20400;Cesar;La Jagua de Ibirico
2495.85;68;68720;Santander;Santa Helena del Opón
15291.53;68;68162;Santander;Cerrito
6615.92;68;68207;Santander;Concepción
14877.72;20;20032;Cesar;Astrea
6186.07;15;15377;Boyacá;Labranzagrande
5107.79;5;5086;Antioquia;Belmira
11392.7;44;44279;La Guajira;Fonseca
58507.53;19;19100;Cauca;Bolívar
261238.58;68;68673;Santander;San Benito
26232.46;52;52352;Nariño;Iles
6563;47;47555;Magdalena;Plato
37382.25;5;5197;Antioquia;Cocorná
23252.1;99;99773;Vichada;Cumaribo
9969.46;5;5190;Antioquia;Cisneros
390;5;5658;Antioquia;San José de la Montaña
86357.27;52;52036;Nariño;Ancuya
195197.29;50;50689;Meta;San Martín
22950.61;20;20178;Cesar;Chiriguaná
13588.5;27;27099;Chocó;Bojayá (Bellavista)
51833.99;50;50370;Meta;Uribe
35110.01;73;73547;Tolima;Piedras
105412.64;17;17013;Caldas;Aguadas
2729.12;5;5042;Antioquia;Santa Fe de Antioquia
29840.71;41;41791;Huila;Tarqui
26789.07;25;25154;Cundinamarca;Carmen de Carupa
34684.41;68;68081;Santander;Barrancabermeja
10888.18;70;70124;Sucre;Caimito
21680.06;41;41378;Huila;La Argentina
135994.16;76;76100;Valle del Cauca;Bolívar
19498.22;25;25843;Cundinamarca;Ubaté
68518.4;85;85263;Casanare;Pore
5302.28;68;68092;Santander;Betulia
16898.32;68;68229;Santander;Curití
38331.44;5;5282;Antioquia;Fredonia
2421.17;8;8141;Atlántico;Candelaria
10482.29;19;19533;Cauca;Piamonte
54991.06;17;17486;Caldas;Neira
121.45;15;15114;Boyacá;Busbanzá
3981.54;23;23350;Córdoba;La Apartada
1892.6;8;8770;Atlántico;Suan
17128.58;25;25339;Cundinamarca;Gutiérrez
14643.46;15;15832;Boyacá;Tununguá
12121.61;54;54418;Norte de Santander;Lourdes
24754.33;5;5425;Antioquia;Maceo
36485.77;86;86571;Putumayo;Puerto Guzmán
12136.13;5;5376;Antioquia;La Ceja
28157.5;76;76109;Valle del Cauca;Buenaventura
3657.67;5;5113;Antioquia;Buriticá
31037.97;25;25815;Cundinamarca;Tocaima
110325.98;50;50124;Meta;Cabuyaro
41667.91;73;73678;Tolima;San Luis
7918.96;17;17388;Caldas;La Merced
233536.46;76;76823;Valle del Cauca;Toro
14469;15;15638;Boyacá;Sáchica
7244.45;15;15097;Boyacá;Boavita
7380.79;44;44855;La Guajira;Urumita
1365.98;25;25488;Cundinamarca;Nilo
6086.45;54;54239;Norte de Santander;Durania
17909.07;25;25200;Cundinamarca;Cogua
31768.47;52;52696;Nariño;Santa Bárbara (Iscuandé)
3330.46;13;13780;Bolívar;Talaigua Nuevo
7329.32;15;15296;Boyacá;Gámeza
58798.3;73;73408;Tolima;Lérida
123868.65;73;73283;Tolima;Fresno
11209.22;20;20250;Cesar;El Paso
10470.99;25;25580;Cundinamarca;Pulí
3572.7;52;52405;Nariño;Leiva
6239.66;41;41244;Huila;Elías
6703.53;27;27245;Chocó;El Carmen
49632.98;95;95001;Guaviare;San José del Guaviare
8596.65;19;19701;Cauca;Santa Rosa
7061.96;5;5615;Antioquia;Rionegro
61815.86;25;25473;Cundinamarca;Mosquera
3712.85;85;85015;Casanare;Chámeza
29197.93;52;52720;Nariño;Sapuyes
16675.5;41;41807;Huila;Timaná
33140.71;54;54051;Norte de Santander;Arboledas
10960.21;54;54599;Norte de Santander;Ragonvalia
6900;13;13062;Bolívar;Arroyohondo
14851.33;15;15542;Boyacá;Pesca
31297.97;5;5480;Antioquia;Mutatá
96197.35;15;15001;Boyacá;Tunja
30082.28;70;70742;Sucre;Sincé
1507.85;15;15778;Boyacá;Sutatenza
406262.33;76;76616;Valle del Cauca;Riofrío
3728.6;54;54172;Norte de Santander;Chinácota
26451.61;5;5034;Antioquia;Andes
32225.7;63;63302;Quindío;Génova
10342.4;47;47545;Magdalena;Pijiño  del Carmen
28900.08;68;68524;Santander;Palmas del Socorro
13820.39;5;5310;Antioquia;Gómez Plata
20123.73;27;27425;Chocó;Medio Atrato (Beté)
468002.81;76;76001;Valle del Cauca;Cali
1021.36;15;15223;Boyacá;Cubará
240239.02;52;52001;Nariño;Pasto
2598.99;15;15090;Boyacá;Berbeo
3877.5;5;5475;Antioquia;Murindó
17953.87;68;68318;Santander;Guaca
341.83;85;85315;Casanare;Sácama
423215.83;41;41359;Huila;Isnos
20690.16;25;25286;Cundinamarca;Funza
12165.22;52;52490;Nariño;Olaya Herrera (Bocas de Satinga)
20948.01;63;63212;Quindío;Córdoba
15493.02;17;17444;Caldas;Marquetalia
3207.21;5;5652;Antioquia;San Francisco
25027.76;63;63272;Quindío;Filandia
71594.2;63;63130;Quindío;Calarcá
5754.99;68;68444;Santander;Matanza
4515.21;15;15516;Boyacá;Paipa
2315.18;25;25797;Cundinamarca;Tena
27408.31;66;66682;Risaralda;Santa Rosa de Cabal
5510.2;47;47798;Magdalena;Tenerife
49811.17;52;52203;Nariño;Colón (Génova)
76405.31;5;5490;Antioquia;Necoclí
3820.12;52;52240;Nariño;Chachaguí
27280.81;8;8606;Atlántico;Repelón
7711.37;73;73024;Tolima;Alpujarra
7914.87;15;15176;Boyacá;Chiquinquirá
13306.41;15;15600;Boyacá;Ráquira
29706.21;20;20614;Cesar;Rio de Oro
16527.3;52;52224;Nariño;Cuaspud (Carlosama)
254502.16;76;76892;Valle del Cauca;Yumbo
367433.75;19;19142;Cauca;Caloto
1826.65;27;27600;Chocó;Rio Quito (Paimadó)
10700.96;50;50606;Meta;Restrepo
90128.67;23;23001;Córdoba;Montería
73532.97;41;41001;Huila;Neiva
19087.6;70;70473;Sucre;Morroa
33092.26;41;41676;Huila;Santa María
25163.8;5;5893;Antioquia;Yondó (Casabe)
9523.57;15;15131;Boyacá;Caldas
4028.82;54;54871;Norte de Santander;Villa Caro
9371.71;27;27495;Chocó;Nuquí
585758.37;47;47980;Magdalena;Zona Bananera
150068.29;5;5756;Antioquia;Sonsón
806.34;5;5059;Antioquia;Armenia
47852.47;25;25530;Cundinamarca;Paratebueno
3223.88;68;68377;Santander;La Belleza
116462.95;73;73270;Tolima;Falan
8425.89;20;20443;Cesar;Manaure Balcón del Cesar
25343.8;52;52215;Nariño;Córdoba
36010.07;63;63111;Quindío;Buenavista
13323.86;27;27361;Chocó;Istmina
10770.35;94;94001;Guainía;Inírida
101621.69;50;50577;Meta;Puerto Lleras
44290.23;5;5240;Antioquia;Ebéjico
12395.37;8;8558;Atlántico;Polonuevo
85547.18;25;25845;Cundinamarca;Une
10543.32;68;68549;Santander;Pinchote
43276.02;25;25862;Cundinamarca;Vergara
8641.01;15;15837;Boyacá;Tuta
35474.43;19;19532;Cauca;Patía (El Bordo)
13987.87;44;44650;La Guajira;San Juan del Cesar
2803.7;5;5579;Antioquia;Puerto Berrío
45067.38;73;73520;Tolima;Palocabildo
10063.23;25;25214;Cundinamarca;Cota
21896.83;13;13549;Bolívar;Pinillos
102401.15;76;76233;Valle del Cauca;Dagua
161456.28;68;68498;Santander;Ocamonte
33570.97;41;41016;Huila;Aipe
36869.15;15;15476;Boyacá;Motavita
24525.37;15;15835;Boyacá;Turmequé
12117.86;70;70670;Sucre;Sampués
5245.7;15;15183;Boyacá;Chita
24261.86;41;41885;Huila;Yaguará
146219.28;15;15861;Boyacá;Ventaquemada
17327.12;41;41660;Huila;Saladoblanco
9390.72;20;20517;Cesar;Pailitas
4048.42;52;52022;Nariño;Aldana
82968;25;25740;Cundinamarca;Sibaté
4618.9;5;5107;Antioquia;Briceño
288217.78;52;52560;Nariño;Potosí
165005.2;73;73268;Tolima;Espinal
28969.08;5;5642;Antioquia;Salgar
71220.74;23;23660;Córdoba;Sahagún
50746.14;5;5400;Antioquia;La Unión
4449.69;15;15022;Boyacá;Almeida
194568.91;5;5847;Antioquia;Urrao
16057.42;52;52079;Nariño;Barbacoas
80440.62;23;23182;Córdoba;Chinú
696.93;13;13760;Bolívar;Soplaviento
4335.81;47;47720;Magdalena;Santa Bárbara de Pinto
7972.71;23;23815;Córdoba;Tuchín
106780.8;73;73443;Tolima;Mariquita
20224.21;76;76054;Valle del Cauca;Argelia
2046258.85;76;76248;Valle del Cauca;El Cerrito
5234.03;25;25438;Cundinamarca;Medina
8211.26;54;54520;Norte de Santander;Pamplonita
64502.02;68;68755;Santander;Socorro
5074.22;86;86749;Putumayo;Sibundoy
209273.84;85;85250;Casanare;Paz de Ariporo
25145.34;19;19022;Cauca;Almaguer
33885.41;73;73217;Tolima;Coyaima
85664.47;25;25596;Cundinamarca;Quipile
48370.39;27;27001;Chocó;Quibdó
50505.46;20;20383;Cesar;La Gloria
5237.95;66;66170;Risaralda;Dosquebradas
29353.53;25;25599;Cundinamarca;Apulo
7779.82;5;5411;Antioquia;Liborina
130498.95;85;85410;Casanare;Tauramena
2523.95;15;15690;Boyacá;Santa María
15897.37;52;52621;Nariño;Roberto Payán (San José)
233519.46;68;68327;Santander;Güepsa
1297951.09;76;76113;Valle del Cauca;Bugalagrande
59775.39;19;19573;Cauca;Puerto Tejada
22541.19;15;15494;Boyacá;Nuevo Colón
3879.05;19;19785;Cauca;Sucre
38501.56;73;73870;Tolima;Villahermosa
45781.3;76;76863;Valle del Cauca;Versalles
15285.3;68;68152;Santander;Carcasí
78071.77;50;50711;Meta;Vistahermosa
102185.98;15;15407;Boyacá;Villa de Leiva
33089.95;76;76246;Valle del Cauca;El Cairo
42333.88;70;70523;Sucre;Palmito
11610.57;25;25372;Cundinamarca;Junín
33027.17;73;73347;Tolima;Herveo
15775.75;47;47205;Magdalena;Concordia
1766.04;13;13188;Bolívar;Cicuco
6171.33;70;70221;Sucre;Coveñas
33222.54;25;25772;Cundinamarca;Suesca
20506.88;41;41078;Huila;Baraya
499887.08;5;5837;Antioquia;Turbo
11332.38;85;85162;Casanare;Monterrey
594.86;73;73148;Tolima;Carmen de Apicalá
2003.35;85;85300;Casanare;Sabanalarga
6724.11;25;25126;Cundinamarca;Cajicá
46779.66;19;19110;Cauca;Buenos Aires
553500.88;76;76147;Valle del Cauca;Cartago
1135;13;13650;Bolívar;San Fernando
27173.54;15;15531;Boyacá;Pauna
1644.3;15;15248;Boyacá;El Espino
132277.54;54;54206;Norte de Santander;Convención
16178.2;15;15763;Boyacá;Sotaquirá
614735.43;81;81794;Arauca;Tame
20465.5;47;47660;Magdalena;Sabanas de San Angel
27775.18;86;86573;Putumayo;Puerto Leguízamo
11328;13;13440;Bolívar;Margarita
24328.5;8;8421;Atlántico;Luruaco
42374.87;13;13873;Bolívar;Villanueva
4367.5;47;47161;Magdalena;Cerro de San Antonio
17721;5;5873;Antioquia;Vigia del Fuerte
6166.18;68;68684;Santander;San José de Miranda
11261.3;23;23670;Córdoba;San Andrés de Sotavento
27229.94;68;68669;Santander;San Andrés
12348.36;68;68572;Santander;Puente Nacional
7451.96;73;73461;Tolima;Murillo
17205.07;19;19760;Cauca;Sotará (Paispamba)
40525.74;50;50006;Meta;Acacías
12392;25;25777;Cundinamarca;Supatá
199075.98;73;73319;Tolima;Guamo
29781.5;70;70708;Sucre;San Marcos
1677.94;70;70110;Sucre;Buenavista
6969.12;25;25785;Cundinamarca;Tabio
2898.17;86;86760;Putumayo;Santiago
167431.23;52;52838;Nariño;Túquerres
3872.52;17;17446;Caldas;Marulanda
89875.78;47;47001;Magdalena;Santa Marta
950434.87;76;76111;Valle del Cauca;Buga
12081;44;44430;La Guajira;Maicao
50446.88;17;17001;Caldas;Manizales
15174.52;25;25293;Cundinamarca;Gachalá
240865.54;15;15686;Boyacá;Santana
45920.11;19;19397;Cauca;La Vega
4644.69;44;44110;La Guajira;El Molino
825372.31;19;19513;Cauca;Padilla
26709.53;5;5667;Antioquia;San Rafael
9787.45;54;54344;Norte de Santander;Hacarí
557.54;88;88001;San Andrés Providencia y Santa Catalina;San Andrés
5632.49;25;25807;Cundinamarca;Tibirita
26165.86;13;13744;Bolívar;Simití
8896.24;5;5044;Antioquia;Anzá
1625.85;27;27160;Chocó;Cértegui
7046.46;15;15660;Boyacá;San Eduardo
10901.23;73;73226;Tolima;Cunday
29089.01;5;5264;Antioquia;Entrerrios
31149.12;66;66045;Risaralda;Apía
4628.49;44;44420;La Guajira;La Jagua del Pilar
19445.37;19;19548;Cauca;Piendamó
8644.1;54;54553;Norte de Santander;Puerto Santander
23061.35;70;70235;Sucre;Galeras
6209.13;15;15500;Boyacá;Oicatá
2761.7;13;13300;Bolívar;Hatillo de Loba
13437.79;8;8685;Atlántico;Santo Tomás
7706.01;23;23586;Córdoba;Purísima
8484.84;19;19355;Cauca;Inzá
29992.45;18;18001;Caquetá;Florencia
64799.97;50;50110;Meta;Barranca de Upía
20369.69;68;68271;Santander;Florián
16309.46;5;5607;Antioquia;Retiro
14664.72;15;15087;Boyacá;Belén
15250.6;25;25572;Cundinamarca;Puerto Salgar
12258.77;15;15879;Boyacá;Viracachá
14295.3;23;23466;Córdoba;Montelíbano
543.95;68;68522;Santander;Palmar
48469.4;5;5659;Antioquia;San Juan de Urabá
21018.93;76;76126;Valle del Cauca;Calima (El Darién)
187565.11;25;25398;Cundinamarca;La Peña
92160.66;66;66687;Risaralda;Santuario
1699741.54;76;76318;Valle del Cauca;Guacarí
3692.08;15;15135;Boyacá;Campohermoso
949.6;25;25295;Cundinamarca;Gachancipá
83434;73;73671;Tolima;Saldaña
116731.38;15;15632;Boyacá;Saboyá
1144.11;5;5591;Antioquia;Puerto Triunfo
19451.92;47;47703;Magdalena;San Zenón
1454.39;15;15162;Boyacá;Cerinza
17813.9;52;52885;Nariño;Yacuanquer
32775.77;25;25867;Cundinamarca;Vianí
58151.61;47;47053;Magdalena;Aracataca
43284.16;5;5679;Antioquia;Santa Bárbara
29053.43;25;25718;Cundinamarca;Sasaima
92733.07;17;17042;Caldas;Anserma
267.04;5;5129;Antioquia;Caldas
13003.58;41;41026;Huila;Altamira
3237.7;15;15673;Boyacá;San Mateo
40914.22;20;20045;Cesar;Becerrill
25253.8;44;44001;La Guajira;Riohacha
2464.54;5;5150;Antioquia;Carolina
85834.79;25;25885;Cundinamarca;Yacopí
15456.32;23;23168;Córdoba;Chima
11525.9;94;94343;Guainía;Barranco Mina
13008.5;15;15599;Boyacá;Ramiriquí
96020.12;63;63594;Quindío;Quimbaya
46733.37;73;73624;Tolima;Rovira
1190.34;8;8758;Atlántico;Soledad
6535.84;25;25368;Cundinamarca;Jerusalén
7266.19;44;44078;La Guajira;Barrancas
2940.47;52;52427;Nariño;Magüí (Payán)
104808.15;23;23417;Córdoba;Lorica
28236.4;20;20011;Cesar;Aguachica
8350.58;76;76845;Valle del Cauca;Ulloa
23408.43;25;25754;Cundinamarca;Soacha
111540.47;73;73124;Tolima;Cajamarca
17098.52;47;47258;Magdalena;El Piñón
25268.62;18;18247;Caquetá;El Doncello
60825.99;54;54498;Norte de Santander;Ocaña
1651.28;97;97666;Vaupés;Taraira
1345.31;5;5266;Antioquia;Envigado
57219.65;70;70508;Sucre;Ovejas
26534.51;76;76250;Valle del Cauca;El Dovio
9275.41;13;13160;Bolívar;Cantagallo
527578.58;19;19698;Cauca;Santander de Quilichao
9266.65;41;41801;Huila;Teruel
54416.13;17;17433;Caldas;Manzanares
90744.11;13;13688;Bolívar;Santa Rosa del Sur
2104.69;85;85136;Casanare;La Salina
60992.46;19;19807;Cauca;Timbío
12850.72;68;68176;Santander;Chima
2621.22;25;25805;Cundinamarca;Tibacuy
4595.81;25;25781;Cundinamarca;Sutatausa
5546.3;44;44098;La Guajira;Distracción
2928.25;52;52540;Nariño;Policarpa
2672399.85;76;76130;Valle del Cauca;Candelaria
32793.6;13;13600;Bolívar;Rioviejo
17475.5;52;52287;Nariño;Funes
767.3;5;5585;Antioquia;Puerto Nare
86818.22;41;41396;Huila;La Plata
8698.48;15;15681;Boyacá;San Pablo de Borbur
32150.22;54;54398;Norte de Santander;La Playa
90536.63;76;76736;Valle del Cauca;Sevilla
1523.6;27;27205;Chocó;Condoto
19615.95;15;15104;Boyacá;Boyacá
6598.69;27;27025;Chocó;Alto Baudó (Pie de Pato)
